,DDX,NN,II,MM,IE,YB,NP,YM,YF,IKM,JX,TT,MOM,VE,VVYN1,VQ,IKO,IH,VI,IA,VDO,PRFKM,CC,PXH,VN,DJM,CSA,IKX,RR,VDX,PRF,JO,JM,DKX,RD,PMXKM,VVYX2,MLX,RJ,DJX,PRFKO,YQ,PMXKO,CSB,DGX,FB,MLO,VR,VOMX1,RK,PRFKX,VVMX2,PMX,VS,DGO,DGM,VCM,PTH,VVMX1,DJO,FZ,DDM,VDM,DDO,VOYN1,IKF,DKM,VOMX2,FO,VCH,MOX,PMXKX,JF,FF,VOYX2,JT,QQ,VVTX2,MLF,PRFKF,VVYN1F,UU,VVYM1F,PTM,VVTM1F,FS,VVTN1,VCN,PMXKF,VVTN1F,PTMKM,DDF,PTN,PTNKM,VOTN1,PTMKF,PTMKO,PTMKX,DKO,DGF,VDF,PXR,FU,MOF,PTNKO,VOTX2,PTNKF,MOO,PTNKX,DKF,--s--
DDX,0.006005012620957047,0.3647620495122976,0.07660488805047191,0.017231257059242503,0.07902775418488286,0.0006556341323129282,0.004324205118118449,0.0037579756402118295,0.008424898600221128,0.1027319082231421,0.04507484659651381,0.024797870977163072,0.0013738515227102724,0.007217935765735964,0.014212359895456158,0.009417290264131151,0.033222769577384195,0.06318226926893813,0.006925880561342024,0.055439826197351834,0.0019490214660575229,0.0013500102815352567,0.0012606056271289483,8.94046544063084e-06,0.0018149144844480604,0.0,5.960310293753893e-06,0.008338474100961696,0.010680876046406976,0.0020443864307575855,0.002011604724141939,0.0009685504227350076,0.00908649304282781,0.0022917393079483718,0.0023185607042702644,0.0023513424108859106,0.005087124835718947,5.662294779066198e-05,0.0001162260507282009,0.0004410629617377881,0.00030099566983457157,0.0015079585043197348,0.00045894389261904976,3.278170661564641e-05,0.0006407333565785435,0.0007152372352504672,1.1920620587507785e-05,2.384124117501557e-05,5.960310293753893e-05,0.0013172285749196103,0.0002503330323376635,0.000613911960256651,0.00205928720649197,0.0018953786734137378,0.00013112682646258564,0.00036953923821274136,0.0005483485470253581,0.00021457117057514013,0.0009178877852380995,0.0,0.0001341069816094626,0.00029801551468769464,0.00031887660071583325,0.00010430543014069312,0.00014602760219697037,0.0036000274174273514,0.00045894389261904976,0.00038145985880024913,0.0013708713675633954,0.00019669023969387848,0.000166888688225109,0.00010430543014069312,0.00030099566983457157,0.00020265054998763236,8.94046544063084e-06,6.556341323129282e-05,0.0,0.00012814667131570869,8.94046544063084e-06,0.00010430543014069312,0.000166888688225109,6.258325808441588e-05,0.0014185538499134264,0.00019371008454700152,0.0,0.0005662294779066198,0.00014900775734384732,8.94046544063084e-05,0.0001549680676376012,8.94046544063084e-06,0.00019072992940012457,1.1920620587507785e-05,2.6821396321892516e-05,2.384124117501557e-05,0.0,2.384124117501557e-05,2.6821396321892516e-05,1.1920620587507785e-05,1.4900775734384733e-05,1.4900775734384733e-05,0.0,1.1920620587507785e-05,5.364279264378503e-05,0.0,0.0,0.0,2.384124117501557e-05,0.0,5.960310293753893e-06,5.960310293753893e-06,0.0
NN,0.005666708402936681,0.18158223545956267,0.1443016092539527,0.01800749779815437,0.046192784978934275,0.008073948750869869,0.02079868015183766,0.035148750204622554,0.010929279830761404,0.08882056389581391,0.029921579370149793,0.02007760095168199,0.0002214318993558755,0.05333063750291342,0.04217018466992748,0.02263428407289291,0.04128849606637635,0.036772663329190595,0.029638374623334122,0.02612991447549269,0.0041962770455187485,0.0004138780779806171,0.03497554864386029,0.0001983858754958756,0.026781618016193515,2.3758787484536e-07,4.347858109670088e-05,0.0032262057525251435,0.007117419966742449,0.008522989834327598,0.0007766747628694818,0.0002891444436868031,0.0033609180775624626,0.0014687682422940154,0.0017408063589919526,0.0006559801224480389,0.009759159547148007,4.419134472123696e-05,0.00014279031278206135,0.0006393489712088637,0.00012687192516742224,0.004879579773574004,0.00018127954850700968,3.5875769101649356e-05,0.0004143532537303078,0.0022012516604422603,0.0007885541566117498,6.723736858123688e-05,0.00011356700417608208,0.0011273544661412332,0.0001473044824041232,0.0010259044435822645,0.0017690793160985506,0.00013352438566309233,4.894310221814416e-05,0.00015181865202618504,0.0012404462945676245,0.00019862346337072096,0.0034203150462738027,2.3758787484536e-07,0.0010259044435822645,0.00026989982582432894,0.00043549857459154485,8.885786519216464e-05,0.0006968452369214409,0.00228013083489092,0.00023378646884783424,0.0007590932601309252,0.0022233473328028787,0.000273226056072164,0.00011214147692700991,4.181546597278336e-05,5.939696871134e-05,0.0009916917896045326,6.034732021072144e-05,1.7819090613402e-05,0.0,0.00035614422439319464,7.198912607814408e-05,1.4968036115257679e-05,0.00022950988710061776,0.00012544639791835008,0.0010881524667917487,0.00020028657849463846,2.85105449814432e-06,0.0036685943754872037,9.764861656144296e-05,0.0001501555369022675,4.5141696220618395e-05,1.282974524164944e-05,7.080118670391728e-05,3.80140599752576e-06,2.637225410783496e-05,1.9719793612164878e-05,9.5035149938144e-07,3.80140599752576e-06,7.60281199505152e-06,9.26592711896904e-06,1.7819090613402e-05,2.85105449814432e-06,5.939696871134e-06,1.995738148701024e-05,3.492541760226792e-05,7.1276362453608e-07,1.42552724907216e-06,0.0,2.13829087360824e-06,1.1879393742268e-06,1.66311512391752e-06,2.3758787484536e-06,0.0
II,0.032523385055573895,0.3482920655882029,0.01508418620006603,0.04203587542643337,0.002217453505007153,0.002374821173104435,0.026624848684934522,0.0065797292835919445,0.00773742709365027,0.016306811929129524,0.13422801804776055,0.05032684054143281,0.0015098492351711236,0.0751931330472103,0.026148343787828765,0.027334653901177508,0.005336194563662374,0.0001848794981842192,0.023455485858919337,0.0005601408605700451,0.004239022779795312,0.0026103224386486187,0.00475404423902278,0.0018179817321448222,0.023424672609221965,1.1004732034774953e-06,4.291845493562232e-05,0.00048420820953009794,0.0228656322218554,0.006152745680642676,0.0029184549356223175,0.0010520523825244855,0.009046990205788488,0.008078573786728294,0.005700451194013426,0.0029151535160118853,0.00995157917904699,2.42104104765049e-05,0.00042588312974579066,0.0019060195884230218,0.0007956421261142291,0.004384285242654341,0.0006096621547265324,9.023880268515462e-05,0.00300979421151095,0.002032574006822934,6.382744580169472e-05,0.00015516672169032684,9.904258831297458e-05,0.001988555078683834,0.0004390888081875206,0.0018201826785517773,0.009665456146142842,7.263123142951469e-05,0.00020578848905029163,0.0013447782546494992,0.0008891823484098163,0.0008473643666776714,0.003920986023990316,0.0,0.0003180367558049962,0.001615494662704963,0.0006085616815230549,0.0009838230439088809,0.0004247826565423132,8.803785627819963e-06,0.00038296467481016837,0.0012809508088478046,0.0023153956201166503,0.00024430505117200397,0.00035985473753714095,6.272697259821724e-05,0.00014526246285902938,0.00036865852316496096,1.1004732034774954e-05,0.00010014306151645207,0.0,0.00033454385385715856,6.602839220864973e-05,7.483217783646968e-05,0.00018597997138769672,0.00011554968636513701,0.0014801364586772311,0.0006305711455926048,3.301419610432486e-06,0.0017706613843952899,0.00011665015956861451,0.00013205678441729945,0.00011004732034774953,3.301419610432486e-05,0.00024980741718939143,1.1004732034774954e-05,4.511940134257731e-05,2.5310883679982392e-05,0.0,1.1004732034774954e-05,3.4114669307802356e-05,1.870804445911742e-05,7.04302850225597e-05,2.42104104765049e-05,1.1004732034774954e-05,0.00024980741718939143,3.741608891823484e-05,6.602839220864972e-06,3.301419610432486e-06,0.0,8.803785627819963e-06,5.502366017387477e-06,1.1004732034774953e-06,1.1004732034774953e-06,1.1004732034774953e-06
MM,0.0015937143904440885,0.42694811662801907,0.05200555675084135,0.13182408580558277,0.007424052868818713,0.029624494327704864,0.008529028179526613,0.05450768834383857,0.014274368557077553,0.026134259812632312,0.03980301690134111,0.011750987438874413,0.00020983906140847165,0.006536885191471503,0.009612753965028593,0.003368049745138507,0.004730675548968203,5.312381301480295e-05,0.005068011761612201,0.003094462108112272,0.0015405905774292855,6.640476626850368e-05,0.010398986397647678,1.062476260296059e-05,0.0031183678239689334,0.0,0.0,0.00024702573051883374,0.008470591985210331,0.0006799848065894777,0.00013015334188626722,0.0008898238679979494,0.003848820252922474,0.0004010847882617623,0.0006640476626850369,0.00022577620531291255,0.002300261103540968,0.02988745720212814,2.6561906507401474e-05,0.0006242048029239346,3.984285976110221e-05,0.001330751516020814,5.04676223640628e-05,5.312381301480295e-05,0.0003187428780888177,0.00485817270020373,0.07041030176981983,7.968571952220442e-06,4.515524106258251e-05,0.00010890381668034605,4.7811431713322656e-05,0.0002682752557247549,0.0005817057525120923,0.00011952857928330664,0.0007463895728579814,0.00021515144270995194,0.0002178076333606921,0.0005206133675450689,0.0007251400476520602,0.0,0.0009668533968694137,0.00014609048579070812,0.0001009352447281256,0.000270931446375495,5.8436194316283246e-05,8.765429147442486e-05,4.7811431713322656e-05,0.0003134304967873374,0.0022736991970335662,9.296667277590517e-05,9.031048212516502e-05,5.312381301480295e-06,0.0011209124546123423,0.0005445190834017302,2.6561906507401474e-06,5.8436194316283246e-05,0.0,5.312381301480295e-05,0.0037717907240510094,2.6561906507401474e-06,8.234191017294457e-05,0.0003346800219932586,0.00032671145004103816,5.04676223640628e-05,0.0,0.006972500458192888,6.109238496702339e-05,7.437333822072413e-05,1.3280953253700737e-05,0.0,2.6561906507401474e-05,1.3280953253700737e-05,2.6561906507401474e-06,2.6561906507401474e-06,0.0,2.6561906507401474e-06,1.3280953253700737e-05,0.0,0.0,2.6561906507401474e-06,0.0,0.0,0.0007224838570013202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,0.053962491786325985,0.3589779496515248,0.004004502709165921,0.03712580655585837,0.001413829134036388,0.0012872577639417018,0.030164381200650632,0.00436805877220385,0.010411168442256525,0.005245979339243588,0.09745187594928528,0.06501728911055336,0.0019578167246561027,0.07032520763090712,0.03371645858692491,0.010793575560414938,0.0024910322837783977,0.0010448870552497496,0.01565984078937447,0.0005789966929863303,0.012587118804735386,0.01264367197009684,0.004055669858778667,0.0013680480001723525,0.010772031497420098,0.0,5.655316536145552e-05,0.00011849234647162108,0.029431883058826065,0.004723535811618713,0.007965917292342162,0.0009479387717729686,0.0115503107731087,0.006896793166223218,0.009546712914588562,0.004965906520310665,0.013201124600088331,1.3465039371775123e-05,0.0006140057953529457,0.0031966003468594144,0.0031104240948800536,0.005757650835371043,0.0008644555276679629,0.0001427294173408163,0.0017719991813256062,0.0015269354647592989,2.6930078743550246e-05,6.193918111016557e-05,5.1167149612745464e-05,0.003643639654002348,0.0013518899529262223,0.0006974890394579514,0.012851033576422177,0.0002504497323150173,0.0006382428662221408,0.0012818717481929917,0.0008644555276679629,0.0010745101418676549,0.0036274816067562183,0.0,0.00019389656695356178,0.003059256945267308,0.0006382428662221408,0.001214546551334116,0.0002639147716867924,2.693007874355025e-06,0.00048743442525825946,0.0008429114646731227,0.0029299925672982667,6.732519685887562e-05,0.00033393297642002307,0.00013734340159210625,0.0002450637165663072,0.0003716350866609934,2.4237070869195222e-05,8.886925985371581e-05,0.0,0.0001965895748279168,4.578113386403542e-05,0.0004605043465147092,9.425527560242586e-05,0.00010772031497420098,0.0036624907091228334,0.0011418353387265304,0.0,0.0018097012915665766,5.924617323581054e-05,8.886925985371581e-05,0.0002073616063253369,0.0,0.00035278403154050824,1.07720314974201e-05,6.463218898452059e-05,6.463218898452059e-05,0.0,1.3465039371775123e-05,4.039511811532537e-05,1.07720314974201e-05,4.8474141738390444e-05,7.540422048194069e-05,1.6158047246130148e-05,0.00021544062994840197,1.6158047246130148e-05,1.3465039371775123e-05,1.3465039371775123e-05,0.0,1.3465039371775123e-05,5.38601574871005e-06,0.0,0.0,0.0
YB,0.016377560435504705,0.36397398043919543,0.030517623177708064,0.11000645875622808,0.01396706034323676,0.00859245248200775,0.04960555453035615,0.04430014762871379,0.05193532016977302,0.01933013471120133,0.053907547517992246,0.009330596050931906,0.0015454880974349512,0.007335301716183798,0.011118287506920095,0.007427569662299317,0.012940579442701605,0.002260564679830227,0.005951282524451006,0.006020483484037645,0.0008304115150396752,0.0019606938549547887,0.02208663960140247,0.0004152057575198376,0.004521129359660454,0.0,2.3066986528879867e-05,0.00019606938549547888,0.012882911976379407,0.004232792028049456,0.0007958110352463554,0.001568555083963831,0.009342129544196345,0.003333179553423141,0.004221258534785016,0.0020183613212769883,0.0041751245617272555,0.0,0.0005997416497508766,0.0022836316663591067,0.0008534785015685551,0.016792766193024545,0.0005651411699575567,0.00042673925078427755,0.0005766746632219966,0.02049501753090976,4.6133973057759734e-05,6.92009595866396e-05,0.00011533493264439934,0.00023066986528879867,0.0006804761026019561,0.000173002398966599,0.00524773943532017,1.1533493264439934e-05,0.00035753829119763796,0.0003806052777265178,0.0021452297471858278,0.0009688134342129544,0.0011994832995017531,0.0,0.018857261487359292,0.000507473703635357,0.0002537368518176785,0.0002537368518176785,0.0018799594021037091,0.0007035430891308359,0.0003690717844620779,0.0013032847388817126,0.008038844805314634,0.0007842775419819155,0.001914559881897029,4.6133973057759734e-05,0.000173002398966599,0.0019722273482192286,0.0,4.6133973057759734e-05,0.0,0.00039213877099095775,0.00011533493264439934,3.46004797933198e-05,0.0002422033585532386,0.0010841483668573538,0.0005536076766931168,0.0008419450083041152,5.766746632219967e-05,0.004717198745155933,0.00019606938549547888,0.00040367226425539767,0.00016146890570215906,0.0,0.00018453589223103894,1.1533493264439934e-05,0.0002652703450821185,0.00012686842590883926,0.0,0.0,4.6133973057759734e-05,0.0,8.073445285107953e-05,0.0,2.3066986528879867e-05,0.0,1.1533493264439934e-05,0.0,0.0,0.0,2.3066986528879867e-05,0.0,0.0,5.766746632219967e-05,0.0
NP,0.0020569981891383465,0.16619490497371614,0.09115842402292586,0.010425640394521703,0.10367329477194277,0.013399790197905496,0.18048254481736084,0.08625913488868182,0.011867297245028921,0.10737706359113205,0.018867537521170673,0.0065636409453987115,0.00042194834648991717,0.006255970276083147,0.007038332835199869,0.002350017874200789,0.053212374807339556,0.003117729449064388,0.002959498819130669,0.032317141065536785,0.0007003170472992375,0.0004834824803530301,0.041468145830036864,5.8603937012488496e-06,0.002645967756113856,0.0,8.790590551873274e-06,0.002959498819130669,0.005075100945281504,0.001110544606386657,0.0008673382677848297,0.00016995141733621664,0.0018313730316402656,0.00041022755908741947,0.0016057478741421849,0.00030767066931556463,0.0062149475201744055,2.9301968506244248e-06,6.739452756436177e-05,0.00026078751970557383,0.00018460240158933876,0.0062149475201744055,0.00014650984253122124,6.153413386311292e-05,8.20455118174839e-05,0.002124392716702708,7.618511811623504e-05,1.758118110374655e-05,5.8603937012488496e-06,0.0003018102756143158,3.809255905811752e-05,0.00017288161418684106,0.000530365629963021,0.0,1.1720787402497699e-05,3.51623622074931e-05,0.0005010636614567767,0.000213904370095583,0.0004365993307430393,5.8603937012488496e-06,6.153413386311292e-05,9.083610236935717e-05,0.00010841728347310372,2.3441574804995398e-05,7.618511811623504e-05,0.004269296811359787,3.809255905811752e-05,0.0005186448425605233,0.0015764459056359407,2.0511377954370973e-05,0.0005684581890211385,1.1720787402497699e-05,4.102275590874195e-05,0.0012775658268722493,0.0,5.8603937012488496e-06,0.0,8.790590551873274e-05,1.1720787402497699e-05,7.325492126561062e-05,0.000117207874024977,7.325492126561062e-05,0.0007120378347017352,0.000117207874024977,0.0,0.0064229914965687395,2.6371771655619823e-05,7.911531496685947e-05,4.102275590874195e-05,0.0,3.223216535686867e-05,0.0,1.4650984253122126e-05,1.4650984253122126e-05,0.0,8.790590551873274e-06,5.8603937012488496e-06,5.8603937012488496e-06,8.790590551873274e-06,0.0,0.0,5.8603937012488496e-06,6.446433071373735e-05,0.0,2.9301968506244248e-06,0.0,8.790590551873274e-06,0.0,0.0,2.0511377954370973e-05,0.0
YM,0.04729992784580805,0.43751135520107143,0.0030912101659546416,0.06973780516291794,0.0002102334369792829,0.013608072963980004,0.0747756212268289,0.016779742840383506,0.007820164760723202,0.0008331473243253064,0.07534662562356276,0.004181309468810183,0.0011887273350186616,0.0057956946268486265,0.008588425221783299,0.00408527691117767,0.0002102334369792829,0.00031145694367301174,0.005730807763583416,0.0004593989919176923,0.0009006296621211256,0.0020815705735479618,0.0269669803730216,0.0020504248791806605,0.004074895013055237,5.450496514277705e-05,2.076379624486745e-05,1.0381898122433724e-05,0.0189936826149925,0.0027901351204040635,0.0015832394636711429,0.002442341533302534,0.010013340739087327,0.01141489698561588,0.010241742497780868,0.003758247120321008,0.0014534657371407214,4.15275924897349e-05,0.0024034094153434073,0.010249528921372694,0.0008720794422844328,0.02709934957408263,0.0009058206111823425,0.0031067830131382922,0.0016507218014669622,0.010986643688065489,5.450496514277705e-05,4.671854155095176e-05,0.00017908774261198176,0.005528360750195959,0.0007500921393458366,0.0006073410401623728,0.015313299730589744,0.0002517610294690178,0.0007111600213867102,0.0008591020696313908,0.0014846114315080227,0.0026525749702818167,0.0014975888041610648,0.0,0.002273635688812986,0.0015962168363241852,0.0004671854155095176,0.0006307003109378488,0.00023878365681597567,0.0,0.0009784938980393785,0.001998515388568492,0.005398587023665536,0.0007085645468561017,0.00034519811257092135,0.00016351489542833117,0.00041268045036674055,0.0015027797532222817,1.2977372653042155e-05,6.229138873460235e-05,1.0381898122433724e-05,0.00031405241820362017,0.00012977372653042156,2.8550219836692744e-05,3.37411688979096e-05,0.0016533172759975706,0.00024657008040780096,0.0028446400855468407,5.190949061216862e-06,0.010973666315412446,0.00027771577477510214,0.00036077095975457194,0.00023099723322415037,1.2977372653042155e-05,0.0007552830884070534,6.229138873460235e-05,0.0003893211795912647,0.0002751203002444937,0.0,6.74823377958192e-05,0.0001167963538773794,4.671854155095176e-05,0.00026214292759145155,4.412306702034333e-05,5.190949061216862e-05,0.00012198730293859627,6.488686326521078e-05,0.0,4.412306702034333e-05,0.0,5.9695914203993917e-05,7.786423591825293e-06,1.2977372653042155e-05,3.633664342851804e-05,0.0
YF,0.005844246698007612,0.02029605999552272,0.00011473024401164092,0.002140698455339154,2.7982986344302664e-06,0.0014733042310275354,0.0023141929706738304,0.0031900604432505038,0.0007121670024625028,0.0001385157824042982,0.0026192075218267295,0.0006953772106559212,4.8970226102529664e-05,0.0003455898813521379,0.0008660734273561675,0.0004771099171703604,6.995746586075666e-05,2.7982986344302664e-06,0.0005022946048802328,0.0,3.7777031564808595e-05,0.00014691067830758899,0.0019042422207297962,0.0001273225878665771,0.0006520035818222521,4.1974479516454e-06,1.5390642489366465e-05,5.596597268860533e-06,0.0024499104544436984,0.00018328856055518244,0.00017629281396910678,8.115066039847773e-05,0.0004994963062458026,0.0018846541302887845,0.0015614506380120887,0.0007415491381240206,6.0163420640250726e-05,1.3991493172151332e-06,0.00014411237967315872,0.00039316095813745244,2.9382135661517797e-05,0.0026597828520259683,0.00014970897694201925,0.00027982986344302665,0.00013012088650100738,0.0015572531900604433,2.7982986344302664e-06,2.7982986344302664e-06,4.1974479516454e-06,0.000913644504141482,3.078128497873293e-05,1.67897918065816e-05,0.0033383702708753077,3.218043429594806e-05,4.8970226102529664e-05,3.497873293037833e-05,0.0002112715468994851,0.0006869823147526304,9.794045220505933e-05,0.0,5.736512200582046e-05,0.0003497873293037833,1.67897918065816e-05,0.00012172599059771658,2.0987239758227e-05,0.0,0.00025184687709872396,6.436086859189612e-05,0.00035678307588985896,0.00016230132079695546,9.794045220505932e-06,2.7982986344302665e-05,6.436086859189612e-05,9.933960152227446e-05,0.0,0.0,0.0002770315648085964,3.6377882247593463e-05,2.7982986344302664e-06,1.3991493172151332e-06,6.995746586075666e-06,0.0004757107678531453,1.5390642489366465e-05,0.0007807253190060444,1.3991493172151332e-06,0.014001287217371839,2.658383702708753e-05,8.954555630176852e-05,5.316767405417506e-05,0.0,0.0002196664428027759,9.794045220505932e-06,0.00011473024401164092,9.234385493619879e-05,0.0,1.67897918065816e-05,2.658383702708753e-05,2.0987239758227e-05,4.1974479516454e-05,0.0,0.0,2.7982986344302664e-06,1.3991493172151332e-06,1.3991493172151332e-06,5.596597268860533e-06,0.0,1.9588090441011864e-05,1.3991493172151332e-06,0.0,8.3948959032908e-06,0.9188927132303559
IKM,0.015706848926153726,0.567700370243672,0.024336947339760818,0.0193976500813326,0.003253303918625514,0.0007784192852505254,0.0069475957432449725,0.004020087639074088,0.004777562907681102,0.00024085619140038676,0.07132252156651936,0.01311909931419981,0.003640768226530484,0.008499780087825244,0.17848956406192912,0.0027157408247753755,0.00010122941377697415,4.654225920780421e-06,0.003771086552312336,0.00020013171459355809,0.0014090668975162723,0.000630647612265747,0.008261251009385247,0.0005852689095381378,0.0016161799509910011,2.3271129603902104e-06,8.610317953443778e-05,5.8177824009755254e-06,0.0073141160345064305,0.0030345553003488343,0.0002024588275539483,0.0002559824256429231,0.011491283798406858,0.0029333258865718603,0.0009203731758343282,0.0008365971092602806,0.0020397145097820193,0.0,4.4215146247413996e-05,0.0006597365242706246,4.305158976721889e-05,0.0037454883097480436,3.490669440585315e-05,2.3271129603902104e-06,0.00033394070981599517,0.0009773874433638883,4.6542259207804203e-05,2.5598242564292313e-05,6.515916289092589e-05,0.0002897255635685812,0.0004956750605631147,0.0001570801248263392,0.001196136061640568,0.003519758352590193,5.236004160877973e-05,0.0010914159784230087,4.654225920780421e-06,0.00010937430913833989,0.008324083059315783,0.0,0.00023503840899941124,0.0008831393684680848,0.0009541163137599862,0.0,0.0002524917562023378,0.0,0.00014428100354419303,2.3271129603902104e-06,0.002474884633374989,1.8616903683121683e-05,0.000674862758513161,0.0,4.7705815687999314e-05,0.0002687815469250693,0.0,0.0002466739738013623,0.0,0.00012682765634126645,8.95938489750231e-05,6.981338881170631e-06,3.490669440585315e-05,7.330405825229162e-05,0.00029787045892994693,9.773874433638884e-05,0.0,0.0007667837204485743,0.00017453347202926576,0.00012566409986107137,4.654225920780421e-06,3.4906694405853154e-06,3.839736384643847e-05,2.3271129603902104e-06,2.3271129603902102e-05,1.6289790722731473e-05,0.0,1.1635564801951052e-06,1.1635564801951052e-06,1.1635564801951052e-06,0.0,1.1635564801951052e-06,1.6289790722731473e-05,9.308451841560842e-06,1.3962677762341262e-05,0.0,0.0,0.0,1.1635564801951052e-06,0.0,0.0,1.1635564801951052e-06,0.0
